Date,Open,High,Low,Close,Volume
2020-05-13,1733.13,1733.13,1673.72,1694.58,2656665
2020-05-14,1660.12,1671.5,1643.69,1653.47,2263146
2020-05-15,1665.33,1666.55,1621.18,1645.26,3173682
2020-05-18,1657.51,1697.45,1627.18,1691.06,3727694
2020-05-19,1654.03,1709.18,1654.03,1693.71,3198693
2020-05-20,1694.88,1706.1,1678.98,1698.01,2778505
2020-05-21,1691.41,1736.61,1687.19,1730.69,3400908
2020-05-22,1718.44,1766.16,1704.66,1756.03,3663418
2020-05-26,1751.38,1759.2,1673.16,1688.8,4575317
2020-05-27,1702.71,1747.04,1687.28,1742.95,3482160
2020-05-28,1728.35,1750.51,1713.4,1742.08,3475681
2020-05-29,1722.7,1740.65,1705.66,1714.31,7237735
2020-06-01,1729.65,1790.49,1721.92,1777.67,3747773
2020-06-02,1790.67,1808.75,1773.15,1779.33,2443886
2020-06-03,1788.65,1799.03,1760.89,1783.68,3699799
2020-06-04,1784.21,1830.63,1784.21,1823.26,4048593
2020-06-05,1823.3,1828.88,1778.58,1785.51,3573289
2020-06-08,1811.67,1826.27,1797.59,1806.0,2957841
2020-06-09,1798.46,1826.7,1795.97,1806.26,2909439
2020-06-10,1810.62,1858.52,1807.53,1838.25,5168397
2020-06-11,1830.63,1834.98,1797.33,1802.43,2269513
2020-06-12,1753.22,1786.34,1753.04,1777.89,2842642
2020-06-15,1777.54,1794.89,1744.28,1769.52,2399022
2020-06-16,1800.12,1807.92,1770.48,1783.38,2146528
2020-06-17,1783.55,1794.75,1766.6,1785.12,2703527
2020-06-18,1782.68,1795.06,1765.42,1776.67,1944389
2020-06-19,1780.07,1821.91,1771.35,1782.33,5681758
2020-06-22,1787.04,1789.0,1760.15,1767.82,3196138
2020-06-23,1766.99,1781.81,1752.17,1774.23,4205944
2020-06-24,1773.09,1799.46,1771.0,1780.24,2560937
2020-06-25,1773.96,1795.76,1751.52,1757.49,3043931
2020-06-26,1765.25,1858.52,1760.84,1847.06,6300722
2020-06-29,1837.6,1854.69,1823.04,1832.06,3076341
2020-06-30,1830.63,1841.0,1808.88,1815.07,3071725
2020-07-01,1812.93,1842.79,1812.76,1823.7,2503466
2020-07-02,1832.37,1887.29,1828.88,1880.45,3758699
2020-07-03,1886.11,1922.16,1883.15,1917.49,4185208
2020-07-06,1922.16,1978.73,1922.16,1972.89,5190366
2020-07-07,1983.18,2007.33,1945.82,1978.73,5630055
2020-07-08,1978.82,1982.66,1924.42,1934.27,2793358
2020-07-09,1943.08,1956.59,1910.0,1921.59,3443998
2020-07-10,1922.38,1961.25,1896.88,1937.28,9610320
2020-07-13,1935.23,1956.98,1926.52,1935.23,2963503
2020-07-14,1926.52,1951.8,1887.29,1893.35,2976738
2020-07-15,1904.72,1970.1,1901.32,1947.35,5569321
2020-07-16,1960.54,2038.3,1939.66,1952.46,8582118
2020-07-17,1954.43,1960.46,1913.41,1922.76,4509135
2020-07-20,1922.97,1945.6,1914.06,1929.0,2952646
2020-07-21,1948.31,1955.87,1923.11,1943.99,2665286
2020-07-22,1949.19,1949.19,1908.3,1914.19,2861534
2020-07-23,1914.19,1914.19,1889.77,1896.94,2265766
2020-07-24,1882.35,1889.77,1856.66,1884.88,3665100
2020-07-27,1891.52,1935.21,1890.21,1928.04,4248480
2020-07-28,1935.21,2026.94,1935.21,2017.99,8092319
2020-07-29,2002.48,2046.16,1962.33,1988.54,6090431
2020-07-30,1997.15,2060.14,1985.22,1991.56,7098496
2020-07-31,2012.22,2039.87,1972.29,1993.22,4723290
2020-08-03,2001.13,2012.83,1948.92,1969.41,4012337
2020-08-04,1974.48,1982.95,1943.99,1965.52,2927928
2020-08-05,1974.52,2009.47,1968.41,1974.09,3800641
2020-08-06,1987.63,2026.51,1979.2,2016.55,4748047
2020-08-07,2016.46,2033.93,1998.11,2005.41,3165491
2020-08-10,2025.2,2031.31,1988.54,1994.44,2929353
2020-08-11,1994.62,2019.95,1988.15,1991.91,2774423
2020-08-12,1999.29,2006.32,1962.77,1972.21,3415751
2020-08-13,1985.88,2009.47,1966.22,1969.67,2695682
2020-08-14,1989.37,1993.13,1951.02,1958.93,2270405
2020-08-17,1977.14,1983.26,1955.52,1968.76,2625630
2020-08-18,1976.97,1999.86,1964.3,1983.04,3493374
2020-08-19,1988.81,1996.01,1967.97,1971.55,2843005
2020-08-20,1971.9,1988.98,1957.09,1968.28,2895164
2020-08-21,1974.52,1984.13,1957.97,1964.56,1975294
2020-08-24,1966.31,1974.48,1948.31,1964.13,2167966
2020-08-25,1961.42,1965.79,1951.41,1959.36,1663419
2020-08-26,1958.8,1974.43,1936.47,1968.84,2618149
2020-08-27,1979.76,1998.42,1958.58,1964.39,3579393
2020-08-28,1981.86,1991.95,1952.77,1955.78,2941136
2020-08-31,1957.05,1988.68,1946.56,1972.12,6018154
2020-09-01,1982.39,1990.25,1958.18,1962.6,3610908
2020-09-02,1963.16,1982.17,1958.49,1979.02,2084137
2020-09-03,1981.51,2030.44,1981.51,2009.03,4654146
2020-09-04,1987.63,2030.66,1977.1,1999.68,5231303
2020-09-07,1999.86,2047.47,1994.92,2033.1,4620401
2020-09-08,2040.88,2088.49,2033.1,2051.58,7453998
2020-09-09,2031.31,2061.02,2026.94,2033.63,3866535
2020-09-10,2040.05,2051.84,2030.7,2036.68,2308813
2020-09-11,2036.51,2081.99,2035.81,2074.21,4145424
2020-09-14,2082.95,2189.23,2080.98,2176.69,7512131
2020-09-15,2176.69,2217.41,2153.28,2176.69,7318770
2020-09-16,2174.55,2190.85,2164.37,2186.83,3074003
2020-09-17,2166.73,2180.49,2141.05,2150.09,4828176
2020-09-18,2171.1,2184.56,2128.64,2140.43,4183256
2020-09-21,2153.63,2188.49,2142.4,2153.89,4598809
2020-09-22,2171.1,2232.26,2147.51,2204.26,7499613
2020-09-23,2192.94,2201.55,2104.7,2155.77,7502280
2020-09-24,2140.52,2140.52,2011.74,2037.65,8424708
2020-09-25,2068.88,2131.78,2054.99,2116.32,8228267
2020-09-28,2131.79,2135.28,2067.13,2119.82,4347166
2020-09-29,2127.29,2193.86,2119.82,2174.07,6995811
2020-09-30,2174.6,2188.57,2149.26,2177.48,3917166
2020-10-01,2192.94,2219.15,2177.48,2204.69,2610337
2020-10-05,2289.05,2383.49,2274.24,2364.01,17412105
2020-10-06,2390.39,2390.39,2315.35,2371.44,9846367
2020-10-07,2395.64,2420.1,2361.56,2390.35,9656101
2020-10-08,2446.31,2520.57,2446.31,2468.76,19839329
2020-10-09,2455.05,2472.39,2428.84,2457.62,7739245
2020-10-12,2459.85,2493.49,2446.97,2472.52,4623203
2020-10-13,2485.63,2494.28,2456.97,2469.51,4209878
2020-10-14,2493.59,2493.59,2445.82,2465.16,4395936
2020-10-15,2466.39,2481.09,2392.69,2404.62,6629355
2020-10-16,2412.96,2431.87,2396.46,2424.54,5273773
2020-10-19,2433.93,2433.93,2374.79,2379.13,3331194
2020-10-20,2390.93,2421.56,2384.75,2403.22,3406273
2020-10-21,2403.22,2411.99,2336.58,2347.42,4570143
2020-10-22,2334.78,2357.29,2314.69,2343.69,5262294
2020-10-23,2358.3,2370.75,2342.77,2357.42,3499091
2020-10-26,2360.18,2377.73,2343.12,2358.65,2672752
2020-10-27,2368.78,2384.92,2302.4,2307.71,3537502
2020-10-28,2325.13,2330.35,2286.52,2300.74,3569445
2020-10-29,2288.28,2329.52,2281.48,2309.91,3105968
2020-10-30,2312.93,2346.49,2300.21,2338.16,3427003
2020-11-02,2333.9,2338.16,2281.3,2285.3,2571196
